Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,Travel_Rarely,257,Research & Development,18,5,Life Sciences,1,1,1,Female,93,4,3,Healthcare Representative,2,Married,11473,8563,8,Y,No,14,4,1,80,0,11,1,4,0,8,0,3,Yes
35,Travel_Frequently,1024,Research & Development,12,2,Other,1,2,1,Male,33,2,4,Healthcare Representative,1,Single,8990,12799,1,Y,No,15,3,2,80,0,22,0,3,4,0,0,3,Yes
42,Travel_Rarely,969,Research & Development,13,1,Human Resources,1,3,2,Female,47,1,2,Research Scientist,3,Divorced,5146,5260,5,Y,No,23,3,4,80,3,15,5,3,1,1,0,8,No
50,Travel_Rarely,1004,Human Resources,9,5,Life Sciences,1,4,1,Male,71,2,4,Sales Representative,4,Married,1465,23731,7,Y,No,14,3,1,80,0,10,3,1,2,4,5,13,Yes
34,Travel_Frequently,1100,Sales,2,2,Life Sciences,1,5,3,Female,59,4,4,Laboratory Technician,4,Single,8129,4303,2,Y,No,21,3,2,80,0,2,0,4,0,8,1,4,No
34,Travel_Rarely,1076,Research & Development,5,4,Life Sciences,1,6,3,Male,44,4,2,Manufacturing Director,1,Married,8259,10841,4,Y,No,18,3,3,80,1,8,1,3,11,0,2,1,No
51,Travel_Frequently,1332,Research & Development,13,4,Medical,1,7,1,Male,99,2,4,Sales Executive,4,Married,9467,2393,6,Y,No,19,3,4,80,1,4,3,3,10,1,2,4,No
43,Travel_Rarely,489,Sales,16,5,Life Sciences,1,8,3,Male,84,4,3,Research Scientist,2,Single,5139,22344,3,Y,No,24,4,3,80,1,5,1,2,1,8,2,5,No
32,Non-Travel,988,Sales,16,2,Medical,1,9,4,Male,82,1,2,Sales Representative,1,Divorced,7807,15645,4,Y,No,24,3,2,80,1,0,1,4,12,12,8,4,No
41,Travel_Rarely,939,Research & Development,24,4,Life Sciences,1,10,2,Male,45,4,1,Sales Executive,3,Single,1009,2657,0,Y,Yes,24,3,2,80,0,11,2,3,7,10,2,4,Yes
32,Travel_Rarely,1465,Research & Development,3,5,Life Sciences,1,11,3,Male,63,4,4,Research Scientist,2,Married,1662,14295,3,Y,No,11,4,1,80,0,27,0,2,10,10,0,3,Yes
32,Travel_Rarely,441,Research & Development,22,4,Medical,1,12,1,Female,56,1,5,Research Scientist,3,Divorced,10896,23366,6,Y,No,12,3,4,80,1,12,0,1,11,5,1,8,No
39,Travel_Rarely,305,Human Resources,4,4,Life Sciences,1,13,2,Female,42,2,2,Sales Executive,3,Single,7345,11308,9,Y,Yes,22,3,4,80,2,16,1,1,9,4,2,3,No
19,Travel_Frequently,262,Sales,11,4,Human Resources,1,14,3,Female,56,4,1,Research Scientist,4,Single,8736,19668,6,Y,Yes,14,3,2,80,1,18,6,2,1,11,0,6,Yes
21,Non-Travel,493,Research & Development,23,3,Life Sciences,1,15,2,Male,98,2,5,Research Scientist,2,Single,3687,21688,9,Y,No,11,4,1,80,0,9,5,4,13,3,1,0,Yes
31,Travel_Rarely,870,Research & Development,26,2,Other,1,16,1,Male,60,1,1,Research Director,2,Single,3090,12190,9,Y,No,21,3,2,80,0,9,0,3,11,0,1,2,Yes
27,Travel_Rarely,676,Research & Development,14,5,Life Sciences,1,17,4,Male,32,2,4,Healthcare Representative,1,Single,4509,24856,3,Y,Yes,16,3,2,80,0,0,4,4,11,5,7,5,No
39,Travel_Frequently,635,Research & Development,3,5,Life Sciences,1,18,4,Female,59,2,5,Research Scientist,2,Divorced,7617,12322,5,Y,No,22,3,4,80,1,12,5,2,0,2,0,3,No
28,Travel_Frequently,1195,Research & Development,16,2,Human Resources,1,19,3,Female,50,3,4,Healthcare Representative,1,Divorced,9723,11312,4,Y,No,15,4,3,80,0,11,5,3,0,1,5,8,Yes
24,Travel_Rarely,994,Research & Development,22,2,Technical Degree,1,20,4,Male,35,3,5,Sales Executive,2,Married,5329,26925,0,Y,No,23,4,3,80,0,4,5,3,16,7,1,5,No
50,Travel_Rarely,506,Research & Development,15,2,Life Sciences,1,21,3,Male,61,4,2,Laboratory Technician,3,Married,1009,20896,7,Y,No,17,3,4,80,0,20,0,3,3,3,4,8,No
34,Travel_Rarely,709,Sales,28,2,Other,1,22,2,Female,71,3,3,Research Scientist,1,Divorced,8384,16707,6,Y,Yes,22,3,1,80,0,5,5,4,8,4,6,5,No
37,Travel_Rarely,929,Research & Development,10,1,Medical,1,23,3,Female,91,3,3,Sales Executive,2,Married,7755,21041,4,Y,No,16,3,4,80,0,33,5,4,14,6,3,1,No
23,Travel_Rarely,1245,Research & Development,9,5,Life Sciences,1,24,3,Female,61,3,1,Sales Representative,1,Single,8752,21429,9,Y,No,24,3,1,80,0,14,3,2,16,0,2,3,Yes
31,Travel_Rarely,791,Research & Development,11,1,Life Sciences,1,25,3,Female,68,2,5,Sales Executive,4,Married,10525,16187,9,Y,No,24,3,4,80,1,11,0,1,10,8,5,3,No
37,Travel_Rarely,1003,Sales,16,4,Technical Degree,1,26,4,Male,93,2,4,Manager,4,Single,10154,25861,6,Y,No,13,3,1,80,0,26,5,2,3,12,0,8,No
26,Travel_Frequently,1342,Research & Development,10,4,Human Resources,1,27,3,Male,59,3,2,Research Scientist,1,Divorced,12895,18747,9,Y,No,15,3,2,80,1,0,6,3,5,8,2,3,No
40,Travel_Rarely,157,Sales,17,5,Human Resources,1,28,1,Male,92,1,2,Sales Executive,1,Married,6633,8713,2,Y,No,13,3,2,80,0,9,4,2,9,0,0,3,No
31,Travel_Rarely,467,Research & Development,19,4,Marketing,1,29,3,Male,60,3,2,Healthcare Representative,3,Married,4469,24125,7,Y,No,19,3,1,80,0,7,5,1,8,5,4,2,Yes
34,Travel_Rarely,556,Research & Development,2,2,Medical,1,30,2,Male,69,1,3,Laboratory Technician,2,Married,11391,11213,4,Y,No,12,3,4,80,1,9,1,2,2,0,2,4,No
31,Travel_Rarely,205,Research & Development,24,1,Life Sciences,1,31,1,Male,62,2,4,Research Scientist,4,Married,10769,26733,1,Y,Yes,16,3,2,80,1,13,0,1,0,8,1,6,No
53,Travel_Rarely,178,Sales,23,2,Life Sciences,1,32,2,Male,92,1,2,Research Scientist,4,Single,5405,6649,1,Y,No,19,3,4,80,1,9,3,1,2,8,1,6,No
36,Travel_Rarely,331,Research & Development,2,4,Life Sciences,1,33,2,Male,54,2,2,Sales Executive,2,Married,11697,15421,3,Y,Yes,20,3,3,80,1,22,4,3,5,5,4,2,No
27,Travel_Rarely,1383,Research & Development,6,1,Medical,1,34,2,Male,65,1,1,Research Director,4,Divorced,6850,3136,6,Y,No,17,3,2,80,1,14,2,1,6,0,0,0,Yes
44,Travel_Rarely,1389,Research & Development,19,2,Marketing,1,35,1,Male,53,2,5,Laboratory Technician,4,Single,12498,7538,9,Y,No,15,3,4,80,0,15,1,4,17,4,8,5,Yes
25,Travel_Rarely,432,Research & Development,8,5,Marketing,1,36,1,Male,87,2,5,Sales Executive,1,Divorced,14627,23481,3,Y,No,12,4,4,80,1,14,1,2,13,0,1,4,No
38,Travel_Rarely,1307,Research & Development,26,2,Technical Degree,1,37,4,Female,68,3,5,Sales Representative,4,Married,18913,6282,8,Y,No,12,3,3,80,1,1,1,2,4,4,0,4,No
19,Travel_Frequently,994,Research & Development,3,4,Technical Degree,1,38,1,Female,75,4,1,Research Scientist,4,Single,6792,15154,1,Y,No,14,4,4,80,0,12,4,4,10,4,0,4,No
24,Travel_Rarely,789,Sales,26,1,Human Resources,1,39,3,Male,39,4,3,Sales Executive,4,Married,13152,12327,5,Y,No,20,3,1,80,0,13,0,4,0,7,1,5,No
38,Travel_Frequently,128,Sales,14,5,Life Sciences,1,40,2,Male,61,2,1,Research Scientist,2,Divorced,10513,5182,3,Y,No,22,3,2,80,1,2,0,3,14,3,2,0,Yes
43,Travel_Rarely,1401,Research & Development,25,1,Marketing,1,41,4,Male,65,3,2,Laboratory Technician,3,Married,10950,3740,5,Y,No,12,3,1,80,0,18,5,2,3,10,3,4,No
38,Travel_Rarely,400,Research & Development,16,5,Other,1,42,1,Female,57,4,4,Sales Executive,1,Married,8494,15221,9,Y,No,22,3,3,80,0,0,5,4,8,5,0,0,Yes
35,Travel_Rarely,1058,Research & Development,1,1,Life Sciences,1,43,2,Male,45,4,2,Laboratory Technician,3,Married,10970,2581,8,Y,No,23,3,1,80,1,30,0,3,7,2,0,8,No
34,Travel_Rarely,900,Sales,21,4,Human Resources,1,44,1,Male,45,3,2,Sales Representative,4,Married,1009,17547,9,Y,No,23,3,4,80,3,11,6,2,13,3,6,4,No
23,Travel_Frequently,1216,Sales,3,5,Technical Degree,1,45,4,Female,47,3,4,Sales Executive,4,Single,6364,21559,8,Y,No,18,4,3,80,2,4,5,2,4,8,0,1,No
30,Travel_Rarely,581,Research & Development,22,3,Life Sciences,1,46,1,Male,37,4,5,Research Scientist,4,Single,3428,3841,8,Y,No,20,3,3,80,0,16,6,4,12,9,2,0,No
32,Travel_Frequently,674,Sales,26,1,Life Sciences,1,47,1,Male,99,4,1,Research Scientist,3,Single,3035,19005,8,Y,No,17,3,1,80,1,16,0,1,9,0,0,1,No
46,Travel_Rarely,559,Research & Development,18,1,Medical,1,48,2,Male,30,1,3,Laboratory Technician,2,Single,1009,19645,2,Y,Yes,17,3,3,80,0,27,1,1,7,0,0,1,Yes
40,Travel_Rarely,466,Sales,9,2,Medical,1,49,3,Male,91,1,2,Research Director,2,Single,4024,23088,8,Y,No,13,3,1,80,0,25,2,4,6,1,1,4,Yes
20,Travel_Rarely,960,Research & Development,6,5,Technical Degree,1,50,1,Male,67,2,2,Research Scientist,1,Married,5681,18372,2,Y,No,17,3,1,80,1,0,1,1,3,9,0,0,No
39,Travel_Rarely,452,Research & Development,23,3,Life Sciences,1,51,4,Female,74,4,3,Sales Executive,3,Married,7366,22950,9,Y,No,18,3,1,80,0,9,6,2,5,8,0,4,No
33,Travel_Rarely,354,Sales,21,4,Life Sciences,1,52,1,Male,87,3,1,Research Scientist,2,Single,6441,14025,2,Y,No,15,3,3,80,0,4,5,3,4,7,5,7,No
30,Travel_Rarely,882,Research & Development,25,2,Life Sciences,1,53,1,Female,30,3,2,Sales Executive,1,Single,11445,26139,4,Y,No,11,3,3,80,2,17,2,3,9,8,0,8,Yes
42,Travel_Rarely,904,Sales,1,3,Life Sciences,1,54,3,Male,61,4,3,Manufacturing Director,4,Single,2288,24282,5,Y,No,11,3,2,80,1,22,2,4,0,10,0,2,No
46,Travel_Rarely,1113,Research & Development,21,5,Life Sciences,1,55,2,Male,37,2,2,Sales Executive,4,Married,1009,2577,8,Y,No,22,3,1,80,1,1,0,3,7,6,1,3,Yes
45,Travel_Frequently,560,Research & Development,27,3,Technical Degree,1,56,4,Male,69,3,5,Research Scientist,1,Single,8997,2545,0,Y,No,21,3,1,80,2,10,3,4,16,8,0,1,No
29,Non-Travel,1018,Research & Development,10,1,Life Sciences,1,57,2,Male,85,4,5,Laboratory Technician,2,Married,6280,6163,7,Y,No,24,4,1,80,1,6,4,1,4,5,0,0,No
